Customer_ID,Age,Location,Income_Level,Total_Transactions,Avg_Transaction_Value,Max_Transaction_Value,Min_Transaction_Value,Total_Spent,Active_Days,Last_Transaction_Days_Ago,Loyalty_Points_Earned,Referral_Count,Cashback_Received,App_Usage_Frequency,Preferred_Payment_Method,Support_Tickets_Raised,Issue_Resolution_Time,Customer_Satisfaction_Score,LTV,Churn
CUST-06507,29,Urban,Medium,349,275.8904189935115,3415.2022855027867,64.62347943163734,96233.91434314525,44,121,5784,25,240.18143258532177,Weekly,Credit Card,8,5.005702908594785,1,1198.8742214120366,1
CUST-03902,66,Suburban,Medium,483,410.0947500025554,2636.997467900806,12.793592461924192,198081.1996894141,57,141,1582,22,149.40991023277107,Daily,UPI,0,21.11460988074789,1,5122.765937970779,1
CUST-03057,47,Rural,Medium,770,12.44381795613603,2322.0287155190367,52.92596428233732,9525.241762868576,137,246,9129,4,264.22759087570466,Daily,UPI,10,0.7204151011198879,6,4584.026734607126,1
CUST-04949,25,Suburban,Medium,138,198.18790424256125,3401.9471476010103,81.11995892129815,27406.223857678102,280,360,3318,2,399.8426510678054,Monthly,Debit Card,17,4.949822114652562,4,4038.3744117610745,1
CUST-05066,58,Urban,Medium,730,513.3285725320718,1475.1673179031973,97.01251044744744,374635.39896988205,150,124,8014,18,384.917359482944,Weekly,UPI,13,1.992371743120064,1,6060.455188436385,1
CUST-04907,60,Rural,High,485,306.9638163726762,1131.651301232836,80.3196456537362,148870.6818963761,258,230,7597,41,308.6921405287195,Monthly,Credit Card,20,46.90682616241858,2,5602.195801691948,1
CUST-05840,18,Suburban,High,790,952.0270107512449,943.1127032674582,94.69753364057416,752007.2024299671,220,180,8694,20,231.70381240283422,Monthly,Credit Card,7,31.301855338549792,4,4203.761378704791,1
CUST-05492,54,Urban,Low,329,986.315118350618,4533.495269195211,65.44342176272993,324518.6463630237,89,54,9113,23,222.1622024226552,Monthly,Credit Card,13,36.967305240526244,3,3501.5342747549225,0
CUST-00768,64,Rural,High,774,386.8563742668656,3444.430199309425,88.51728023825295,299360.58446715615,185,353,3142,10,42.80530160419788,Monthly,Debit Card,0,3.8824433062256674,1,6225.768541433757,1
CUST-06481,35,Rural,Low,212,134.45343906734672,3908.2553943216863,22.806984149321217,28492.759392043994,45,315,4295,24,284.7220585203386,Weekly,Debit Card,1,16.683268397350915,7,8948.376240123658,1
CUST-00790,25,Rural,Medium,590,574.3374108974957,1945.708222729098,87.44239738731984,338827.96811398043,90,7,3222,10,264.71022098420235,Weekly,Credit Card,17,23.74605040694037,9,820.6574400116835,0
CUST-04984,47,Urban,Low,744,560.7443959085322,1858.2464893131207,61.06742350407815,417097.50424309913,353,256,8350,1,95.20616966414613,Daily,Wallet,18,42.09144108515791,2,1408.636650361645,1
CUST-05084,51,Rural,High,954,641.0541916115168,3745.738598880527,26.508434842539007,611569.6865729169,239,67,7001,1,259.2678396473086,Monthly,Debit Card,1,45.644287259579656,6,7501.3998957153935,0
CUST-06613,48,Rural,Low,419,579.6147229072748,1740.6166864040529,78.7720863481172,242810.85154865138,330,364,6191,46,270.73836285007786,Daily,UPI,8,20.879366752205915,1,6633.857634372568,1
